id,name,class,raridade,estagio,familia_evolutiva,hp,atk,def,ene,agi,papel_tatico,origem_decisao,status_confianca,justificativa_curta,observacoes
MON_001,Ferrozimon,Guerreiro,Comum,Base,MON_001,29,7,9,4,4,Tank/Proteção,RUNTIME_DIRETO,FATO_CONFIRMADO,Stats runtime. DEF=9 dominante. Total=53.,Nome canônico DEX v3 confirmado.
MON_002,Cavalheiromon,Guerreiro,Incomum,Evo1,MON_001,39,10,12,5,5,Tank/Proteção,RUNTIME_DIRETO,FATO_CONFIRMADO,Stats runtime. Delta+18. DEF=12. Total=71.,—
MON_003,Rexuriçomon,Guerreiro,Raro,Evo2,MON_001,50,14,16,6,6,Tank/Proteção,RUNTIME_DIRETO,FATO_CONFIRMADO,Stats runtime. Delta+21. DEF=16. Total=92.,Renomeado v3 (era Kinguespinhomon). Atualizar monsters.json.
MON_004,Arcanouriçomon,Guerreiro,Místico,Evo3,MON_001,63,17,17,9,8,Tank dual,AJUSTE_DE_BALANCEAMENTO,FATO_CONFIRMADO,Runtime SPD=8/ENE=9. ENE/AGI trocados em v2 — corrigidos. Total=114.,Swap ENE/AGI corrigido. Valor agora alinhado com runtime.
MON_005,Dinomon,Bardo,Comum,Base,MON_005,27,6,5,6,8,Buff/Debuff,RUNTIME_DIRETO,FATO_CONFIRMADO,Stats runtime. AGI=8>ENE=6. Total=52.,—
MON_006,Guitarapitormon,Bardo,Incomum,Evo1,MON_005,35,8,6,8,10,Buff/Debuff,RUNTIME_DIRETO,FATO_CONFIRMADO,Stats runtime. Delta+15. AGI=10. Total=67.,—
MON_007,Rugirockmon,Bardo,Raro,Evo2,MON_005,46,11,9,10,12,Buff/Debuff,RUNTIME_DIRETO,FATO_CONFIRMADO,Stats runtime. Delta+21. Total=88.,Renomeado v3 (era TRockmon).
MON_008,Colossauromon,Bardo,Místico,Evo3,MON_005,60,16,12,12,11,Buff dual,RUNTIME_DIRETO,FATO_CONFIRMADO,Stats runtime. Delta+23. Total=111.,Renomeado v3 (era Giganotometalmon). AGI=11<Evo2: trade-off dual Bárbaro.
MON_009,Miaumon,Caçador,Comum,Base,MON_009,25,8,4,4,9,Pressão à distância,RUNTIME_DIRETO,FATO_CONFIRMADO,Stats runtime. AGI=9. ATK=8. Total=50.,—
MON_010,Gatunamon,Caçador,Incomum,Evo1,MON_009,32,10,6,6,12,Pressão à distância,RUNTIME_DIRETO,FATO_CONFIRMADO,Stats runtime. Delta+16. AGI=12. Total=66.,—
MON_011,Felinomon,Caçador,Raro,Evo2,MON_009,42,14,7,6,15,Pressão à distância,RUNTIME_DIRETO,FATO_CONFIRMADO,Stats runtime. Delta+18. AGI=15. Total=84.,—
MON_012,Panterezamon,Caçador,Místico,Evo3,MON_009,54,18,9,8,18,Pressão dual,RUNTIME_DIRETO,FATO_CONFIRMADO,Stats runtime. Delta+23. AGI=18=ATK=18. Total=107.,—
